Sample in Buffer,Sample in Window,TRIGGER,w_rom_rand[15:0],w_cmult_i[32:0],w_cmult_q[32:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX
0,0,0,0e97,000000000,00fa0ee48
1,1,0,c351,000000000,03860bd52
2,2,0,2e39,000000000,0314b6442
3,3,0,bbd0,000000000,001a9ba22
4,4,0,f4d8,000000000,01cc4ff42
5,5,0,e272,000000000,010b11162
6,6,0,09e1,000000000,024531200
7,7,0,7de0,000000000,000f8ec80
8,8,0,4156,000000000,006d2f588
9,9,0,7aff,000000000,000c32f82
10,10,0,bc1a,000000000,07bc90800
11,11,0,074f,000000000,0215991c8
12,12,0,8d2a,000000000,076301402
13,13,0,41c2,000000000,024046548
14,14,0,1a1b,000000000,0006ad4c2
15,15,0,5b6f,000000000,0670695c8
16,16,0,7cff,000000000,021c82e08
17,17,0,6df2,000000000,00552fdb2
18,18,0,e8d5,000000000,041503442
19,19,0,8016,000000000,07a100c02
20,20,0,0a77,000000000,05e6ff188
21,21,0,b52d,000000000,004318272
22,22,0,b822,000000000,07fd403c8
23,23,0,d368,000000000,000db06a2
24,24,0,9890,000000000,02bbd53d2
25,25,0,3f5e,000000000,02859c908
26,26,0,3f9e,000000000,00f893480
27,27,0,0b15,000000000,05396a200
28,28,0,d68f,000000000,01f5ecd08
29,29,0,5513,000000000,01f9e4b08
30,30,0,0d75,000000000,000f59f72
31,31,0,7521,000000000,00d6ac7c2
32,32,0,6490,000000000,0388b3ed2
33,33,0,db43,000000000,0016a2ef2
34,34,0,0be0,000000000,06b2e5c82
35,35,0,d8c0,000000000,04f01a200
36,36,0,1f70,000000000,00a8b6712
37,37,0,4bef,000000000,0011a0800
38,38,0,3ef1,000000000,00c092000
39,39,0,a023,000000000,007b8a200
40,40,0,5288,000000000,02d0bd242
41,41,0,8670,000000000,01ef33dc2
42,42,0,ea18,000000000,047cb8992
43,43,0,3b3d,000000000,03536d080
44,44,0,4808,000000000,07372e200
45,45,0,de06,000000000,003bfc480
46,46,0,3eaf,000000000,01b6a5912
47,47,0,646b,000000000,028890080
48,48,0,be1b,000000000,00904d048
49,49,0,a12d,000000000,01eb27742
50,50,0,b99e,000000000,04ec78972
51,51,0,d99a,000000000,021ec2db2
52,52,0,c97e,000000000,0463f43d2
53,53,0,6d6f,000000000,026b37b08
54,54,0,8d22,000000000,00b84e148
55,55,0,17b9,000000000,017363408
56,56,0,a9b3,000000000,05d8f6c42
57,57,0,56a1,000000000,06714f108
58,58,0,aae5,000000000,004658762
59,59,0,0090,000000000,03a2fa652
60,60,0,7fd4,000000000,03aa12282
61,61,0,dafb,000000000,03895e1b2
62,62,0,8c0d,000000000,00000a200
63,63,0,b6b2,000000000,07fa80f20
64,64,0,e5d8,000000000,00ab4e432
65,65,0,d56b,000000000,069087152
66,66,0,bac7,000000000,029fb2788
67,67,0,6fa5,000000000,005584c80
68,68,0,2ee5,000000000,00e2a7572
69,69,0,764d,000000000,0256f8d62
70,70,0,f01f,000000000,0616100b2
71,71,0,70b9,000000000,0112e31b2
72,72,0,817e,000000000,06d562652
73,73,0,1c3d,000000000,001f84782
74,74,0,4d13,000000000,06344cb62
75,75,0,bba4,000000000,07d087408
76,76,0,6eb6,000000000,0063acd12
77,77,0,4365,000000000,02e68ded2
78,78,0,5392,000000000,024820220
79,79,0,12ce,000000000,05fc1d2c8
80,80,0,4ae6,000000000,0237c0bb2
81,81,0,d43c,000000000,0368ffe88
82,82,0,b934,000000000,002c33b88
83,83,0,cff8,000000000,02bd38d48
84,84,0,15a3,000000000,00ef6dc20
85,85,0,5475,000000000,027286520
86,86,0,ca5b,000000000,012060080
87,87,0,e70d,000000000,003a84b92
88,88,0,5caf,000000000,037b9faf2
89,89,0,1d5f,000000000,0167b78b2
90,90,0,7dbe,000000000,004dced52
91,91,0,b425,000000000,0431c7f42
92,92,0,53c3,000000000,006bd5282
93,93,0,2d05,000000000,07b863208
94,94,0,ae3c,000000000,02cf41ab2
95,95,0,8b88,000000000,036d00d12
96,96,0,3921,000000000,00fd58432
97,97,0,d8f1,000000000,0343b3c20
98,98,0,291e,000000000,069f9f080
99,99,0,e245,000000000,0197f6c82
100,100,0,2099,000000000,00beb25c2
101,101,0,858a,000000000,00d353f08
102,102,0,691b,000000000,006e7cd32
103,103,0,4cf1,000000000,0084d36e2
104,104,0,3eef,000000000,075295cc8
105,105,0,5028,000000000,0564e51b2
106,106,0,e220,000000000,02e3ff5c2
107,107,0,1e06,000000000,01ef14642
108,108,0,1353,000000000,032320c80
109,109,0,07b1,000000000,006f90800
110,110,0,c66a,000000000,0070ad048
111,111,0,bfa6,000000000,002ead9d2
112,112,0,f39e,000000000,0007650c2
113,113,0,ba4b,000000000,019e847c8
114,114,0,4df0,000000000,0205a3f48
115,115,0,7c71,000000000,00132ab08
116,116,0,87ad,000000000,025f623f2
117,117,0,0921,000000000,02f748200
118,118,0,964a,000000000,078fb53c2
119,119,0,4d55,000000000,0711bd5d2
120,120,0,7d38,000000000,000a6ac82
121,121,0,9123,000000000,0574d9ac8
122,122,0,707c,000000000,02eb87c72
123,123,0,84a7,000000000,07a7f7880
124,124,0,2f10,000000000,060055592
125,125,0,48a2,000000000,062d97820
126,126,0,08bd,000000000,076dd49e2
127,127,0,62a6,000000000,0114dc200
128,128,0,6625,000000000,029370d08
129,129,0,203d,000000000,00098b712
130,130,0,a34b,000000000,04c070748
131,131,0,b7c1,000000000,0518302b2
132,132,0,aea0,000000000,0081e9d12
133,133,0,8ab4,000000000,043252ff2
134,134,0,9b60,000000000,028c6ff02
135,135,0,1dcf,000000000,033bbc800
136,136,0,708d,000000000,06b7d1d20
137,137,0,dabd,000000000,04f1ac800
138,138,0,e91e,000000000,006f11ac2
139,139,0,7bfe,000000000,062f75b52
140,140,0,7211,000000000,00ad8df12
141,141,0,2d38,000000000,004173f08
142,142,0,7d01,000000000,0781c2008
143,143,0,444f,000000000,065a64a42
144,144,0,d631,000000000,00ff97880
145,145,0,2991,000000000,07a13f402
146,146,0,be81,000000000,0247420c2
147,147,0,cba6,000000000,00da7eac2
148,148,0,2e20,000000000,00d7f8842
149,149,0,0720,000000000,021837a02
150,150,0,e95e,000000000,015695f48
151,151,0,1a46,000000000,0109f0800
152,152,0,4022,000000000,000658800
153,153,0,1562,000000000,004007d08
154,154,0,0d42,000000000,005649648
155,155,0,1564,000000000,020220908
156,156,0,0306,000000000,003927308
157,157,0,9524,000000000,0015f8a08
158,158,0,3835,000000000,003931e20
159,159,0,7f04,000000000,000124848
160,160,0,dac2,000000000,05935da20
161,161,0,78a4,000000000,018ae75f2
162,162,0,d8b0,000000000,07e09f020
163,163,0,62f4,000000000,00ad5f608
164,164,0,f466,000000000,071b45220
165,165,0,e9d6,000000000,00c12f200
166,166,0,b7bd,000000000,04c7f7120
167,167,0,a02a,000000000,0010d3148
168,168,0,cf15,000000000,003d67dc8
169,169,0,39e1,000000000,028cb8312
170,170,0,486a,000000000,047c10dc8
171,171,0,319c,000000000,012b1ef72
172,172,0,8282,000000000,01a2bef82
173,173,0,57dc,000000000,028f797c8
174,174,0,6c1d,000000000,0133a2e20
175,175,0,455d,000000000,07b089408
176,176,0,8aeb,000000000,03c4e8a20
177,177,0,e0d0,000000000,05b50f692
178,178,0,344f,000000000,025968792
179,179,0,3ac1,000000000,06b186772
180,180,0,b96a,000000000,007995200
181,181,0,c4e0,000000000,0156060c2
182,182,0,2c4b,000000000,01af80b02
183,183,0,fa3c,000000000,026ecbfc8
184,184,0,1fab,000000000,01b4f8800
185,185,0,bc87,000000000,00f53bbf2
186,186,0,ad57,000000000,000427c20
187,187,0,5463,000000000,007d5b872
188,188,0,4454,000000000,023911e62
189,189,0,6f39,000000000,035616722
190,190,0,9b9e,000000000,037a23c92
191,191,0,aea6,000000000,024797720
192,192,0,995e,000000000,060a4f562
193,193,0,fd61,000000000,04eb96b08
194,194,0,b178,000000000,033b42748
195,195,0,6559,000000000,0524afd08
196,196,0,995d,000000000,0000dbd82
197,197,0,8b4e,000000000,0302e5080
198,198,0,0eaa,000000000,0503eb1e2
199,199,0,45c2,000000000,0524c9792
200,200,0,cfdb,000000000,06a639788
201,201,0,add1,000000000,001ae11c8
202,202,0,d6c5,000000000,026044e08
203,203,0,b5cc,000000000,0121bcab2
204,204,0,0299,000000000,034c44942
205,205,0,6807,000000000,00d47e732
206,206,0,2101,000000000,02b043520
207,207,0,99fe,000000000,0000d7ee2
208,208,0,e40f,000000000,0548b6062
209,209,0,8dfb,000000000,008828402
210,210,0,0054,000000000,0514b3008
211,211,0,ee85,000000000,0061971c2
212,212,0,7f60,000000000,06590e832
213,213,0,4fc5,000000000,000003720
214,214,0,fc53,000000000,002632232
215,215,0,64fa,000000000,07ec0c800
216,216,0,a336,000000000,031b65b32
217,217,0,e3d7,000000000,0001b05d2
218,218,0,6d67,000000000,04fa88848
219,219,0,6ae0,000000000,043439ec8
220,220,0,36ac,000000000,00631fd22
221,221,0,1e4b,000000000,05d81bee2
222,222,0,d7e1,000000000,0593c8800
223,223,0,6f9f,000000000,0175a0720
224,224,0,9ff1,000000000,0072b53f2
225,225,0,3b07,000000000,00c936782
226,226,0,257f,000000000,061568982
227,227,0,5549,000000000,0481681c2
228,228,0,e5f5,000000000,01b387462
229,229,0,3ff4,000000000,00afbea02
230,230,0,55d1,000000000,038d31da2
231,231,0,d28c,000000000,0054c78f2
232,232,0,0d61,000000000,01ff40120
233,233,0,7aa8,000000000,03988e942
234,234,0,0c9f,000000000,01023f920
235,235,0,d496,000000000,00165fd82
236,236,0,1e95,000000000,075891c80
237,237,0,dc52,000000000,0013e9582
238,238,0,41aa,000000000,00eb98fc8
239,239,0,e9f5,000000000,0074e8572
240,240,0,fe0a,000000000,009f21488
241,241,0,31da,000000000,021af89c8
242,242,0,7905,000000000,003cbc8f2
243,243,0,d3e7,000000000,00007b0c8
244,244,0,567a,000000000,0136a5b48
245,245,0,3d33,000000000,0726b7432
246,246,0,7444,000000000,00f3134e2
247,247,0,882c,000000000,03a6c6448
248,248,0,db5b,000000000,01d42b052
249,249,0,29a3,000000000,0699b6420
250,250,0,c810,000000000,0702d8f20
251,251,0,bafa,000000000,00a7da4b2
252,252,0,360c,000000000,00d8b3b92
253,253,0,1fe4,000000000,018720200
254,254,0,1732,000000000,025387848
255,255,0,2912,000000000,016d22120
256,256,0,8c2c,000000000,007f20620
257,257,0,d949,000000000,004340b88
258,258,0,f38b,000000000,00d2d8a88
259,259,0,bdab,000000000,068d04f20
260,260,0,370d,000000000,00bb5ada2
261,261,0,5b2e,000000000,001365af2
262,262,0,c810,000000000,0225fe072
263,263,0,3b26,000000000,017ad2d52
264,264,0,a344,000000000,040f37888
265,265,0,5633,000000000,018720200
266,266,0,a37b,000000000,01b551348
267,267,0,1694,000000000,0432f5420
268,268,0,ddbc,000000000,03a0c9c52
269,269,0,4e87,000000000,042dfba32
270,270,0,00f7,000000000,003fb8b20
271,271,0,fd56,000000000,0092c4420
272,272,0,6086,000000000,0302d1662
273,273,0,da67,000000000,00001dca2
274,274,0,f30e,000000000,0000e31c8
275,275,0,76a9,000000000,048c98c48
276,276,0,8ad4,000000000,00b0b2ae2
277,277,0,7913,000000000,0014f2988
278,278,0,b06f,000000000,06e007722
279,279,0,2ac8,000000000,06b427f20
280,280,0,1620,000000000,07285eed2
281,281,0,2cd4,000000000,03175a042
282,282,0,dc6b,000000000,00e4c7880
283,283,0,1eca,000000000,003d30800
284,284,0,4fa7,000000000,00fb31f20
285,285,0,84ee,000000000,009e42972
286,286,0,9578,000000000,00767eec8
287,287,0,798c,000000000,03190fde2
288,288,0,26be,000000000,076549a88
289,289,0,bb32,000000000,058a9d080
290,290,0,e74b,000000000,0736b4920
291,291,0,9f3c,000000000,00bb9ea08
292,292,0,c4b8,000000000,024fc2b88
293,293,0,c202,000000000,004c4dff2
294,294,0,d4e8,000000000,049272c20
295,295,0,a6f8,000000000,01b748880
296,296,0,d917,000000000,01e061008
297,297,0,9f25,000000000,00e822480
298,298,0,6257,000000000,03ded2080
299,299,0,9822,000000000,00bd40022
300,300,0,6e17,000000000,04949f6b2
301,301,0,e626,000000000,04b8d7322
302,302,0,8c22,000000000,05448c908
303,303,0,d7a5,000000000,05eaf8c22
304,304,0,3c68,000000000,005389b48
305,305,0,4b70,000000000,068e26908
306,306,0,0b7e,000000000,00cb920b2
307,307,0,2fac,000000000,01c81d480
308,308,0,64c5,000000000,02c75a200
309,309,0,8e06,000000000,001082408
310,310,0,cdbc,000000000,011c13720
311,311,0,8bd3,000000000,04f54ff32
312,312,0,b20a,000000000,0657d5048
313,313,0,385c,000000000,013bd4420
314,314,0,38c4,000000000,069719fd2
315,315,0,60b7,000000000,02f7bd0c8
316,316,0,151a,000000000,018d0c220
317,317,0,9218,000000000,0192cac20
318,318,0,6c38,000000000,0491385a2
319,319,0,4ce5,000000000,0037a8d48
