Sample in Buffer,Sample in Window,TRIGGER,w_hilbert_i[15:0],w_adc_data[15:0],w_hilbert_q[15:0],w_hilbert_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,HEX
0,0,0,90,0,-126,1
1,1,0,90,-309,47,0
2,2,0,-1,-588,47,1
3,3,0,-1,-809,47,0
4,4,0,-91,-951,47,1
5,5,0,-91,-1000,-126,0
6,6,0,146,-951,-126,1
7,7,0,146,-809,154,0
8,8,0,-147,-588,154,1
9,9,0,-147,-309,-126,0
10,10,0,90,0,-126,1
11,11,0,90,309,47,0
12,12,0,-1,588,47,1
13,13,0,-1,809,47,0
14,14,0,-91,951,47,1
15,15,0,-91,1000,-126,0
16,16,0,146,951,-126,1
17,17,0,146,809,154,0
18,18,0,-147,588,154,1
19,19,0,-147,309,-126,0
20,20,0,90,0,-126,1
21,21,0,90,-309,47,0
22,22,0,-1,-588,47,1
23,23,0,-1,-809,47,0
24,24,0,-91,-951,47,1
25,25,0,-91,-1000,-126,0
26,26,0,146,-951,-126,1
27,27,0,146,-809,154,0
28,28,0,-147,-588,154,1
29,29,0,-147,-309,-126,0
30,30,0,90,0,-126,1
31,31,0,90,309,47,0
32,32,0,-1,588,47,1
33,33,0,-1,809,47,0
34,34,0,-91,951,47,1
35,35,0,-91,1000,-126,0
36,36,0,146,951,-126,1
37,37,0,146,809,154,0
38,38,0,-147,588,154,1
39,39,0,-147,309,-126,0
40,40,0,90,0,-126,1
41,41,0,90,-309,47,0
42,42,0,-1,-588,47,1
43,43,0,-1,-809,47,0
44,44,0,-91,-951,47,1
45,45,0,-91,-1000,-126,0
46,46,0,146,-951,-126,1
47,47,0,146,-809,154,0
48,48,0,-147,-588,154,1
49,49,0,-147,-309,-126,0
50,50,0,90,0,-126,1
51,51,0,90,309,47,0
52,52,0,-1,588,47,1
53,53,0,-1,809,47,0
54,54,0,-91,951,47,1
55,55,0,-91,1000,-126,0
56,56,0,146,951,-126,1
57,57,0,146,809,154,0
58,58,0,-147,588,154,1
59,59,0,-147,309,-126,0
60,60,0,90,0,-126,1
61,61,0,90,-309,47,0
62,62,0,-1,-588,47,1
63,63,0,-1,-809,47,0
64,64,0,-91,-951,47,1
65,65,0,-91,-1000,-126,0
66,66,0,146,-951,-126,1
67,67,0,146,-809,154,0
68,68,0,-147,-588,154,1
69,69,0,-147,-309,-126,0
70,70,0,90,0,-126,1
71,71,0,90,309,47,0
72,72,0,-1,588,47,1
73,73,0,-1,809,47,0
74,74,0,-91,951,47,1
75,75,0,-91,1000,-126,0
76,76,0,146,951,-126,1
77,77,0,146,809,154,0
78,78,0,-147,588,154,1
79,79,0,-147,309,-126,0
80,80,0,90,0,-126,1
81,81,0,90,-309,47,0
82,82,0,-1,-588,47,1
83,83,0,-1,-809,47,0
84,84,0,-91,-951,47,1
85,85,0,-91,-1000,-126,0
86,86,0,146,-951,-126,1
87,87,0,146,-809,154,0
88,88,0,-147,-588,154,1
89,89,0,-147,-309,-126,0
90,90,0,90,0,-126,1
91,91,0,90,309,47,0
92,92,0,-1,588,47,1
93,93,0,-1,809,47,0
94,94,0,-91,951,47,1
95,95,0,-91,1000,-126,0
96,96,0,146,951,-126,1
97,97,0,146,809,154,0
98,98,0,-147,588,154,1
99,99,0,-147,309,-126,0
100,100,0,90,0,-126,1
101,101,0,90,-309,47,0
102,102,0,-1,-588,47,1
103,103,0,-1,-809,47,0
104,104,0,-91,-951,47,1
105,105,0,-91,-1000,-126,0
106,106,0,146,-951,-126,1
107,107,0,146,-809,154,0
108,108,0,-147,-588,154,1
109,109,0,-147,-309,-126,0
110,110,0,90,0,-126,1
111,111,0,90,309,47,0
112,112,0,-1,588,47,1
113,113,0,-1,809,47,0
114,114,0,-91,951,47,1
115,115,0,-91,1000,-126,0
116,116,0,146,951,-126,1
117,117,0,146,809,154,0
118,118,0,-147,588,154,1
119,119,0,-147,309,-126,0
120,120,0,90,0,-126,1
121,121,0,90,-309,47,0
122,122,0,-1,-588,47,1
123,123,0,-1,-809,47,0
124,124,0,-91,-951,47,1
125,125,0,-91,-1000,-126,0
126,126,0,146,-951,-126,1
127,127,0,146,-809,154,0
128,128,0,-147,-588,154,1
129,129,0,-147,-309,-126,0
130,130,0,90,0,-126,1
131,131,0,90,309,47,0
132,132,0,-1,588,47,1
133,133,0,-1,809,47,0
134,134,0,-91,951,47,1
135,135,0,-91,1000,-126,0
136,136,0,146,951,-126,1
137,137,0,146,809,154,0
138,138,0,-147,588,154,1
139,139,0,-147,309,-126,0
140,140,0,90,0,-126,1
141,141,0,90,-309,47,0
142,142,0,-1,-588,47,1
143,143,0,-1,-809,47,0
144,144,0,-91,-951,47,1
145,145,0,-91,-1000,-126,0
146,146,0,146,-951,-126,1
147,147,0,146,-809,154,0
148,148,0,-147,-588,154,1
149,149,0,-147,-309,-126,0
150,150,0,90,0,-126,1
151,151,0,90,309,47,0
152,152,0,-1,588,47,1
153,153,0,-1,809,47,0
154,154,0,-91,951,47,1
155,155,0,-91,1000,-126,0
156,156,0,146,951,-126,1
157,157,0,146,809,154,0
158,158,0,-147,588,154,1
159,159,0,-147,309,-126,0
160,160,0,90,0,-126,1
161,161,0,90,-309,47,0
162,162,0,-1,-588,47,1
163,163,0,-1,-809,47,0
164,164,0,-91,-951,47,1
165,165,0,-91,-1000,-126,0
166,166,0,146,-951,-126,1
167,167,0,146,-809,154,0
168,168,0,-147,-588,154,1
169,169,0,-147,-309,-126,0
170,170,0,90,0,-126,1
171,171,0,90,309,47,0
172,172,0,-1,588,47,1
173,173,0,-1,809,47,0
174,174,0,-91,951,47,1
175,175,0,-91,1000,-126,0
176,176,0,146,951,-126,1
177,177,0,146,809,154,0
178,178,0,-147,588,154,1
179,179,0,-147,309,-126,0
180,180,0,90,0,-126,1
181,181,0,90,-309,47,0
182,182,0,-1,-588,47,1
183,183,0,-1,-809,47,0
184,184,0,-91,-951,47,1
185,185,0,-91,-1000,-126,0
186,186,0,146,-951,-126,1
187,187,0,146,-809,154,0
188,188,0,-147,-588,154,1
189,189,0,-147,-309,-126,0
190,190,0,90,0,-126,1
191,191,0,90,309,47,0
192,192,0,-1,588,47,1
193,193,0,-1,809,47,0
194,194,0,-91,951,47,1
195,195,0,-91,1000,-126,0
196,196,0,146,951,-126,1
197,197,0,146,809,154,0
198,198,0,-147,588,154,1
199,199,0,-147,309,-126,0
200,200,0,90,0,-126,1
201,201,0,90,-309,47,0
202,202,0,-1,-588,47,1
203,203,0,-1,-809,47,0
204,204,0,-91,-951,47,1
205,205,0,-91,-1000,-126,0
206,206,0,146,-951,-126,1
207,207,0,146,-809,154,0
208,208,0,-147,-588,154,1
209,209,0,-147,-309,-126,0
210,210,0,90,0,-126,1
211,211,0,90,309,47,0
212,212,0,-1,588,47,1
213,213,0,-1,809,47,0
214,214,0,-91,951,47,1
215,215,0,-91,1000,-126,0
216,216,0,146,951,-126,1
217,217,0,146,809,154,0
218,218,0,-147,588,154,1
219,219,0,-147,309,-126,0
220,220,0,90,0,-126,1
221,221,0,90,-309,47,0
222,222,0,-1,-588,47,1
223,223,0,-1,-809,47,0
224,224,0,-91,-951,47,1
225,225,0,-91,-1000,-126,0
226,226,0,146,-951,-126,1
227,227,0,146,-809,154,0
228,228,0,-147,-588,154,1
229,229,0,-147,-309,-126,0
230,230,0,90,0,-126,1
231,231,0,90,309,47,0
232,232,0,-1,588,47,1
233,233,0,-1,809,47,0
234,234,0,-91,0,47,1
235,235,0,-91,309,-126,0
236,236,0,146,588,-126,1
237,237,0,146,809,154,0
238,238,0,-147,951,154,1
239,239,0,-147,1000,-126,0
240,240,0,-147,951,-126,1
241,241,0,-147,809,-126,0
242,242,0,-147,588,-126,1
243,243,0,-147,309,-126,0
244,244,0,90,0,-126,1
245,245,0,90,-309,47,0
246,246,0,-1,-588,47,1
247,247,0,-1,-809,47,0
248,248,0,-91,-951,47,1
249,249,0,-91,-1000,-126,0
250,250,0,146,-951,-126,1
251,251,0,146,-809,154,0
252,252,0,-147,-588,154,1
253,253,0,-147,-309,-126,0
254,254,0,90,0,-126,1
255,255,0,90,309,47,0
256,256,0,-1,588,47,1
257,257,0,-1,809,47,0
258,258,0,-91,951,47,1
259,259,0,-91,1000,-126,0
260,260,0,146,951,-126,1
261,261,0,146,809,154,0
262,262,0,-147,588,154,1
263,263,0,-147,309,-126,0
264,264,0,90,0,-126,1
265,265,0,90,-309,47,0
266,266,0,-1,-588,47,1
267,267,0,-1,-809,47,0
268,268,0,-91,-951,47,1
269,269,0,-91,-1000,-126,0
270,270,0,146,-951,-126,1
271,271,0,146,-809,154,0
272,272,0,-147,-588,154,1
273,273,0,-147,-309,-126,0
274,274,0,90,0,-126,1
275,275,0,90,309,47,0
276,276,0,-1,588,47,1
277,277,0,-1,809,47,0
278,278,0,-91,951,47,1
279,279,0,-91,1000,-126,0
280,280,0,146,951,-126,1
281,281,0,146,809,154,0
282,282,0,-147,588,154,1
283,283,0,-147,309,-126,0
284,284,0,90,0,-126,1
285,285,0,90,-309,47,0
286,286,0,-1,-588,47,1
287,287,0,-1,-809,47,0
288,288,0,-91,-951,47,1
289,289,0,-91,-1000,-126,0
290,290,0,146,-951,-126,1
291,291,0,146,-809,154,0
292,292,0,-147,-588,154,1
293,293,0,-147,-309,-126,0
294,294,0,90,0,-126,1
295,295,0,90,309,47,0
296,296,0,-1,588,47,1
297,297,0,-1,809,47,0
298,298,0,-91,951,47,1
299,299,0,-91,1000,-126,0
300,300,0,146,951,-126,1
301,301,0,146,809,154,0
302,302,0,-147,588,154,1
303,303,0,-147,309,-126,0
304,304,0,90,0,-126,1
305,305,0,90,-309,47,0
306,306,0,-1,-588,47,1
307,307,0,-1,-809,47,0
308,308,0,-91,-951,47,1
309,309,0,-91,-1000,-126,0
310,310,0,146,-951,-126,1
311,311,0,146,-809,154,0
312,312,0,-147,-588,154,1
313,313,0,-147,-309,-126,0
314,314,0,90,0,-126,1
315,315,0,90,309,47,0
316,316,0,-1,588,47,1
317,317,0,-1,809,47,0
318,318,0,-91,951,47,1
319,319,0,-91,1000,-126,0
320,320,0,146,951,-126,1
321,321,0,146,809,154,0
322,322,0,-147,588,154,1
323,323,0,-147,309,-126,0
324,324,0,90,0,-126,1
325,325,0,90,-309,47,0
326,326,0,-1,-588,47,1
327,327,0,-1,-809,47,0
328,328,0,-91,-951,47,1
329,329,0,-91,-1000,-126,0
330,330,0,146,-951,-126,1
331,331,0,146,-809,154,0
332,332,0,-147,-588,154,1
333,333,0,-147,-309,-126,0
334,334,0,90,0,-126,1
335,335,0,90,309,47,0
336,336,0,-1,588,47,1
337,337,0,-1,809,47,0
338,338,0,-91,951,47,1
339,339,0,-91,1000,-126,0
340,340,0,146,951,-126,1
341,341,0,146,809,154,0
342,342,0,-147,588,154,1
343,343,0,-147,309,-126,0
344,344,0,90,0,-126,1
345,345,0,90,-309,47,0
346,346,0,-1,-588,47,1
347,347,0,-1,-809,47,0
348,348,0,-91,-951,47,1
349,349,0,-91,-1000,-126,0
350,350,0,146,-951,-126,1
351,351,0,146,-809,154,0
352,352,0,-147,-588,154,1
353,353,0,-147,-309,-126,0
354,354,0,90,0,-126,1
355,355,0,90,309,47,0
356,356,0,-1,588,47,1
357,357,0,-1,809,47,0
358,358,0,-91,951,47,1
359,359,0,-91,1000,-126,0
360,360,0,146,951,-126,1
361,361,0,146,809,154,0
362,362,0,-147,588,154,1
363,363,0,-147,309,-126,0
364,364,0,90,0,-126,1
365,365,0,90,-309,47,0
366,366,0,-1,-588,47,1
367,367,0,-1,-809,47,0
368,368,0,-91,-951,47,1
369,369,0,-91,-1000,-126,0
370,370,0,146,-951,-126,1
371,371,0,146,-809,154,0
372,372,0,-147,-588,154,1
373,373,0,-147,-309,-126,0
374,374,0,90,0,-126,1
375,375,0,90,309,47,0
376,376,0,-1,588,47,1
377,377,0,-1,809,47,0
378,378,0,-91,951,47,1
379,379,0,-91,1000,-126,0
380,380,0,146,951,-126,1
381,381,0,146,809,154,0
382,382,0,-147,588,154,1
383,383,0,-147,309,-126,0
384,384,0,90,0,-126,1
385,385,0,90,-309,47,0
386,386,0,-1,-588,47,1
387,387,0,-1,-809,47,0
388,388,0,-91,-951,47,1
389,389,0,-91,-1000,-126,0
390,390,0,146,-951,-126,1
391,391,0,146,-809,154,0
392,392,0,-147,-588,154,1
393,393,0,-147,-309,-126,0
394,394,0,90,0,-126,1
395,395,0,90,309,47,0
396,396,0,-1,588,47,1
397,397,0,-1,809,47,0
398,398,0,-91,951,47,1
399,399,0,-91,1000,-126,0
400,400,0,146,951,-126,1
401,401,0,146,809,154,0
402,402,0,-147,588,154,1
403,403,0,-147,309,-126,0
404,404,0,90,0,-126,1
405,405,0,90,-309,47,0
406,406,0,-1,-588,47,1
407,407,0,-1,-809,47,0
408,408,0,-91,-951,47,1
409,409,0,-91,-1000,-126,0
410,410,0,146,-951,-126,1
411,411,0,146,-809,154,0
412,412,0,-147,-588,154,1
413,413,0,-147,-309,-126,0
414,414,0,90,0,-126,1
415,415,0,90,309,47,0
416,416,0,-1,588,47,1
417,417,0,-1,809,47,0
418,418,0,-91,951,47,1
419,419,0,-91,1000,-126,0
420,420,0,146,951,-126,1
421,421,0,146,809,154,0
422,422,0,-147,588,154,1
423,423,0,-147,309,-126,0
424,424,0,90,0,-126,1
425,425,0,90,-309,47,0
426,426,0,-1,-588,47,1
427,427,0,-1,-809,47,0
428,428,0,-91,-951,47,1
429,429,0,-91,-1000,-126,0
430,430,0,146,-951,-126,1
431,431,0,146,-809,154,0
432,432,0,-147,-588,154,1
433,433,0,-147,-309,-126,0
434,434,0,90,0,-126,1
435,435,0,90,309,47,0
436,436,0,-1,588,47,1
437,437,0,-1,809,47,0
438,438,0,-91,951,47,1
439,439,0,-91,1000,-126,0
440,440,0,146,951,-126,1
441,441,0,146,809,154,0
442,442,0,-147,588,154,1
443,443,0,-147,309,-126,0
444,444,0,90,0,-126,1
445,445,0,90,-309,47,0
446,446,0,-1,-588,47,1
447,447,0,-1,-809,47,0
448,448,0,-91,-951,47,1
449,449,0,-91,-1000,-126,0
450,450,0,146,-951,-126,1
451,451,0,146,-809,154,0
452,452,0,-147,-588,154,1
453,453,0,-147,-309,-126,0
454,454,0,90,0,-126,1
455,455,0,90,309,47,0
456,456,0,-1,588,47,1
457,457,0,-1,809,47,0
458,458,0,-91,951,47,1
459,459,0,-91,1000,-126,0
460,460,0,146,951,-126,1
461,461,0,146,809,154,0
462,462,0,-147,588,154,1
463,463,0,-147,309,-126,0
464,464,0,90,0,-126,1
465,465,0,90,-309,47,0
466,466,0,-1,-588,47,1
467,467,0,-1,-809,47,0
468,468,0,-91,-951,47,1
469,469,0,-91,-1000,-126,0
470,470,0,146,-951,-126,1
471,471,0,146,-809,154,0
472,472,0,-147,-588,154,1
473,473,0,-147,-309,-126,0
474,474,0,90,0,-126,1
475,475,0,90,309,47,0
476,476,0,-1,588,47,1
477,477,0,-1,809,47,0
478,478,0,-91,951,47,1
479,479,0,-91,1000,-126,0
480,480,0,146,951,-126,1
481,481,0,146,809,154,0
482,482,0,-147,588,154,1
483,483,0,-147,309,-126,0
484,484,0,90,0,-126,1
485,485,0,90,-309,47,0
486,486,0,-1,-588,47,1
487,487,0,-1,-809,47,0
488,488,0,-91,-951,47,1
489,489,0,-91,-1000,-126,0
490,490,0,146,-951,-126,1
491,491,0,146,-809,154,0
492,492,0,-147,-588,154,1
493,493,0,-147,-309,-126,0
494,494,0,90,0,-126,1
495,495,0,90,309,47,0
496,496,0,-1,588,47,1
497,497,0,-1,809,47,0
498,498,0,-91,951,47,1
499,499,0,-91,1000,-126,0
500,500,0,146,951,-126,1
501,501,0,146,809,154,0
502,502,0,-147,588,154,1
503,503,0,-147,309,-126,0
504,504,0,90,0,-126,1
505,505,0,90,-309,47,0
506,506,0,-1,-588,47,1
507,507,0,-1,-809,47,0
508,508,0,-91,-951,47,1
509,509,0,-91,-1000,-126,0
510,510,0,146,-951,-126,1
511,511,0,146,-809,154,0
512,512,0,-147,-588,154,1
513,513,0,-147,-309,-126,0
514,514,0,90,0,-126,1
515,515,0,90,309,47,0
516,516,0,-1,588,47,1
517,517,0,-1,809,47,0
518,518,0,-91,951,47,1
519,519,0,-91,1000,-126,0
520,520,0,146,951,-126,1
521,521,0,146,809,154,0
522,522,0,-147,588,154,1
523,523,0,-147,309,-126,0
524,524,0,90,0,-126,1
525,525,0,90,-309,47,0
526,526,0,-1,-588,47,1
527,527,0,-1,-809,47,0
528,528,0,-91,-951,47,1
529,529,0,-91,-1000,-126,0
530,530,0,146,-951,-126,1
531,531,0,146,-809,154,0
532,532,0,-147,-588,154,1
533,533,0,-147,-309,-126,0
534,534,0,90,0,-126,1
535,535,0,90,309,47,0
536,536,0,-1,588,47,1
537,537,0,-1,809,47,0
538,538,0,-91,951,47,1
539,539,0,-91,1000,-126,0
540,540,0,146,951,-126,1
541,541,0,146,809,154,0
542,542,0,-147,588,154,1
543,543,0,-147,309,-126,0
544,544,0,90,0,-126,1
545,545,0,90,-309,47,0
546,546,0,-1,-588,47,1
547,547,0,-1,-809,47,0
548,548,0,-91,-951,47,1
549,549,0,-91,-1000,-126,0
550,550,0,146,-951,-126,1
551,551,0,146,-809,154,0
552,552,0,-147,-588,154,1
553,553,0,-147,-309,-126,0
554,554,0,90,0,-126,1
555,555,0,90,309,47,0
556,556,0,-1,588,47,1
557,557,0,-1,809,47,0
558,558,0,-91,951,47,1
559,559,0,-91,1000,-126,0
560,560,0,146,951,-126,1
561,561,0,146,809,154,0
562,562,0,-147,588,154,1
563,563,0,-147,309,-126,0
564,564,0,90,0,-126,1
565,565,0,90,-309,47,0
566,566,0,-1,-588,47,1
567,567,0,-1,-809,47,0
568,568,0,-91,-951,47,1
569,569,0,-91,-1000,-126,0
570,570,0,146,-951,-126,1
571,571,0,146,-809,154,0
572,572,0,-147,-588,154,1
573,573,0,-147,-309,-126,0
574,574,0,90,0,-126,1
575,575,0,90,309,47,0
576,576,0,-1,588,47,1
577,577,0,-1,809,47,0
578,578,0,-91,951,47,1
579,579,0,-91,1000,-126,0
580,580,0,146,951,-126,1
581,581,0,146,809,154,0
582,582,0,-147,588,154,1
583,583,0,-147,309,-126,0
584,584,0,90,0,-126,1
585,585,0,90,-309,47,0
586,586,0,-1,-588,47,1
587,587,0,-1,-809,47,0
588,588,0,-91,-951,47,1
