Sample in Buffer,Sample in Window,TRIGGER,w_fir_q[15:0],w_fir_i[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
0,0,0,fe34,ff47
1,1,0,fe21,ff82
2,2,0,fe17,ffc1
3,3,0,fe16,0002
4,4,0,fe1d,0045
5,5,0,fe2c,0088
6,6,0,fe43,00ca
7,7,0,fe61,0108
8,8,0,fe85,0141
9,9,0,feae,0173
10,10,0,fedc,019d
11,11,0,ff0d,01be
12,12,0,ff41,01d7
13,13,0,ff78,01e7
14,14,0,ffb0,01f0
15,15,0,ffe8,01f2
16,16,0,0021,01ee
17,17,0,005a,01e4
18,18,0,0092,01d6
19,19,0,00c9,01c2
20,20,0,00fe,01a9
21,21,0,0131,0189
22,22,0,0160,0164
23,23,0,018c,0139
24,24,0,01b3,0107
25,25,0,01d3,00cf
26,26,0,01ec,0093
27,27,0,01fd,0052
28,28,0,0205,000f
29,29,0,0203,ffcb
30,30,0,01f8,ff87
31,31,0,01e4,ff45
32,32,0,01c7,ff05
33,33,0,01a2,fecb
34,34,0,0176,fe96
35,35,0,0145,fe68
36,36,0,010d,fe41
37,37,0,00d2,fe24
38,38,0,0094,fe0f
39,39,0,0055,fe04
40,40,0,0015,fe02
41,41,0,ffd7,fe0a
42,42,0,ff9a,fe18
43,43,0,ff61,fe2f
44,44,0,ff2d,fe4c
45,45,0,fefd,fe6e
46,46,0,fed2,fe95
47,47,0,feab,fec0
48,48,0,fe8a,feee
49,49,0,fe6d,ff1f
50,50,0,fe55,ff52
51,51,0,fe42,ff88
52,52,0,fe33,ffbf
53,53,0,fe2a,fff8
54,54,0,fe28,0032
55,55,0,fe2c,006b
56,56,0,fe38,00a4
57,57,0,fe4c,00da
58,58,0,fe68,010e
59,59,0,fe8b,013d
60,60,0,feb6,0167
61,61,0,fee7,018c
62,62,0,ff1d,01aa
63,63,0,ff56,01c2
64,64,0,ff93,01d2
65,65,0,ffd1,01da
66,66,0,0011,01dc
67,67,0,004f,01d5
68,68,0,008d,01c6
69,69,0,00c9,01af
70,70,0,0101,0191
71,71,0,0136,016c
72,72,0,0165,0140
73,73,0,018e,010f
74,74,0,01b1,00d9
75,75,0,01cd,009f
76,76,0,01e1,0064
77,77,0,01ef,0027
78,78,0,01f6,ffeb
79,79,0,01f5,ffb0
80,80,0,01ee,ff77
81,81,0,01e0,ff42
82,82,0,01cc,ff0f
83,83,0,01b0,fee1
84,84,0,018c,feb6
85,85,0,0162,fe90
86,86,0,0130,fe6d
87,87,0,00f8,fe50
88,88,0,00ba,fe38
89,89,0,0079,fe26
90,90,0,0037,fe1b
91,91,0,fff4,fe18
92,92,0,ffb3,fe1d
93,93,0,ff76,fe2b
94,94,0,ff3d,fe41
95,95,0,ff0a,fe5f
96,96,0,fedc,fe85
