Sample in Buffer,Sample in Window,TRIGGER,w_adc[15:0],w_fft_data_q[26:0],w_mag[26:0],w_fft_data_i[26:0],w_fft_tlast_out
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,HEX,SIGNED,SIGNED,HEX
3,3,0,0,0000008,279,215,0
4,4,0,951,000000d,271,220,0
5,5,0,588,0000008,282,225,0
6,6,0,-588,000000c,262,222,0
7,7,0,-951,0000008,273,228,0
8,8,0,0,0000007,265,223,0
9,9,0,951,0000012,276,226,0
10,10,0,588,0000016,276,220,0
11,11,0,-588,0000019,274,226,0
12,12,0,-951,000001c,271,229,0
13,13,0,0,0000019,264,227,0
14,14,0,951,0000012,272,225,0
15,15,0,588,000001a,271,229,0
16,16,0,-588,000001e,263,219,0
17,17,0,-951,0000025,269,226,0
18,18,0,0,0000025,267,223,0
19,19,0,951,0000024,262,225,0
20,20,0,588,0000028,264,227,0
21,21,0,-588,000002d,268,228,0
22,22,0,-951,0000030,262,223,0
23,23,0,0,000002a,265,223,0
24,24,0,951,0000038,264,226,0
25,25,0,588,0000037,270,223,0
26,26,0,-588,0000039,257,231,0
27,27,0,-951,0000044,266,223,0
28,28,0,0,000003e,262,229,0
29,29,0,951,0000040,260,223,0
30,30,0,588,0000049,268,223,0
31,31,0,-588,000003f,263,224,0
32,32,0,-951,000004a,262,214,0
33,33,0,0,0000049,271,221,0
34,34,0,951,0000048,250,227,0
35,35,0,588,0000055,257,222,0
36,36,0,-588,0000059,262,226,0
37,37,0,-951,0000052,259,221,0
38,38,0,0,0000055,265,224,0
39,39,0,951,000005f,259,222,0
40,40,0,588,0000055,264,218,0
41,41,0,-588,000005c,257,221,0
42,42,0,-951,000005d,264,219,0
43,43,0,0,0000062,268,226,0
44,44,0,951,0000061,266,228,0
45,45,0,588,0000063,263,222,0
46,46,0,-588,000006c,268,223,0
47,47,0,-951,0000068,257,209,0
48,48,0,0,0000069,267,209,0
49,49,0,951,000006f,263,217,0
50,50,0,588,0000072,265,220,0
51,51,0,-588,0000076,268,220,0
52,52,0,-951,0000074,270,210,0
53,53,0,0,0000078,265,216,0
54,54,0,951,0000084,264,215,0
55,55,0,588,0000074,271,220,0
56,56,0,-588,000007c,267,229,0
57,57,0,-951,0000084,277,215,0
58,58,0,0,0000073,271,216,0
59,59,0,951,0000082,276,213,0
60,60,0,588,000008a,270,212,0
61,61,0,-588,0000086,273,215,0
62,62,0,-951,0000094,271,211,0
63,63,0,0,000008b,263,210,0
64,64,0,951,000008b,271,207,0
65,65,0,588,0000093,277,210,0
66,66,0,-588,0000098,277,213,0
67,67,0,-951,000009d,283,208,0
68,68,0,0,0000092,274,212,0
69,69,0,951,000009f,279,210,0
70,70,0,588,00000a4,281,214,0
71,71,0,-588,00000a3,272,205,0
72,72,0,-951,00000ad,279,204,0
73,73,0,0,00000af,277,206,0
74,74,0,951,00000b2,286,200,0
75,75,0,588,00000a9,289,210,0
76,76,0,-588,00000b4,283,199,0
77,77,0,-951,00000ae,289,202,0
78,78,0,0,00000b9,272,204,0
79,79,0,951,00000bc,272,204,0
80,80,0,588,00000bb,284,206,0
81,81,0,-588,00000be,288,203,0
82,82,0,-951,00000c7,290,202,0
83,83,0,0,00000ba,279,201,0
84,84,0,951,00000c4,287,197,0
85,85,0,588,00000cd,294,199,0
86,86,0,-588,00000c7,290,196,0
87,87,0,-951,00000d1,303,203,0
88,88,0,0,00000d8,294,202,0
89,89,0,951,00000d3,285,194,0
90,90,0,588,00000da,291,205,0
91,91,0,-588,00000d8,294,198,0
92,92,0,-951,00000db,295,192,0
93,93,0,0,00000d7,300,196,0
94,94,0,951,00000e6,293,197,0
95,95,0,588,00000e1,290,185,0
96,96,0,-588,00000e3,298,194,0
97,97,0,-951,00000e8,305,191,0
98,98,0,0,00000ee,304,191,0
99,99,0,951,00000ed,299,189,0
100,100,0,588,00000f8,306,195,0
101,101,0,-588,00000ee,314,193,0
102,102,0,-951,00000f3,305,205,0
103,103,0,0,00000e8,311,244,0
104,104,0,951,0000119,314,127,0
105,105,0,588,0000103,311,163,0
106,106,0,-588,0000107,314,166,0
107,107,0,-951,0000112,312,167,0
108,108,0,0,000010f,310,165,0
109,109,0,951,0000108,320,173,0
110,110,0,588,000010e,323,172,0
