Sample in Buffer,Sample in Window,TRIGGER,w_noise[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED
0,0,0,-31
1,1,0,5
2,2,0,10
3,3,0,-43
4,4,0,-20
5,5,0,25
6,6,0,-77
7,7,0,40
8,8,0,18
9,9,0,-25
10,10,0,18
11,11,0,39
12,12,0,17
13,13,0,37
14,14,0,12
15,15,0,-39
16,16,0,-11
17,17,0,-22
18,18,0,-43
19,19,0,-19
20,20,0,26
21,21,0,-73
22,22,0,47
23,23,0,32
24,24,0,-62
25,25,0,71
26,26,0,-48
27,27,0,34
28,28,0,7
29,29,0,17
30,30,0,-28
31,31,0,11
32,32,0,24
33,33,0,-14
34,34,0,-25
35,35,0,15
36,36,0,-31
37,37,0,5
38,38,0,11
39,39,0,-39
40,40,0,52
41,41,0,-20
42,42,0,-40
43,43,0,48
44,44,0,-30
45,45,0,7
46,46,0,-111
47,47,0,35
48,48,0,72
49,49,0,18
50,50,0,-26
51,51,0,-50
52,52,0,30
53,53,0,-2
54,54,0,-1
55,55,0,1
56,56,0,2
57,57,0,6
58,58,0,15
59,59,0,-32
60,60,0,-62
61,61,0,70
62,62,0,14
63,63,0,-35
64,64,0,-3
65,65,0,-5
66,66,0,-6
67,67,0,-10
68,68,0,46
69,69,0,-34
70,70,0,63
71,71,0,-64
72,72,0,2
73,73,0,6
74,74,0,14
75,75,0,-34
76,76,0,-1
77,77,0,1
78,78,0,4
79,79,0,11
80,80,0,24
81,81,0,-14
82,82,0,-26
83,83,0,14
84,84,0,-34
85,85,0,-1
86,86,0,-1
87,87,0,1
88,88,0,3
89,89,0,7
90,90,0,-48
91,91,0,36
92,92,0,-53
93,93,0,23
94,94,0,47
95,95,0,30
96,96,0,-67
97,97,0,-68
98,98,0,-5
99,99,0,-6
100,100,0,54
101,101,0,47
102,102,0,32
103,103,0,2
104,104,0,-58
105,105,0,12
106,106,0,-38
107,107,0,-11
108,108,0,-21
109,109,0,-39
110,110,0,50
111,111,0,-24
112,112,0,18
113,113,0,36
114,114,0,-53
115,115,0,86
116,116,0,-81
117,117,0,-34
118,118,0,62
119,119,0,-65
120,120,0,63
121,121,0,-64
122,122,0,66
123,123,0,5
124,124,0,-52
125,125,0,27
126,126,0,-8
127,127,0,-14
128,128,0,39
129,129,0,16
130,130,0,-30
131,131,0,7
132,132,0,17
133,133,0,-28
134,134,0,10
135,135,0,20
136,136,0,-21
137,137,0,-39
138,138,0,-12
139,139,0,-23
140,140,0,86
141,141,0,-18
142,142,0,-35
143,143,0,-5
144,144,0,55
145,145,0,-80
146,146,0,-29
